dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,kmer_dim,cgr_dim,ExAcc,AvgPrec,AvgF1,MiP,MiR,AvgAUC,AvgMCC,Hamming,RankLoss,OneError,Coverage,n_eval
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,gated,et,65536,223,0.5666,0.8014000000000001,0.727,0.747,0.6676,0.7790000000000001,0.3732,0.2720000000000001,0.1636,0.7854000000000001,5.027800000000001,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,oof_blend,et,65536,223,0.5666,0.8014000000000001,0.727,0.747,0.6676,0.7790000000000001,0.3732,0.2720000000000001,0.1636,0.7854000000000001,5.027800000000001,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,stack_meta,et,65536,223,0.5626,0.8012,0.71,0.701,0.693,0.7786000000000001,0.3736,0.2931999999999999,0.2124,0.75,5.2986,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,gated,rf,65536,223,0.5584,0.7916,0.7219999999999999,0.7418,0.6648000000000001,0.7682,0.3604,0.2758,0.1688,0.8036,5.0626,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,oof_blend,rf,65536,223,0.5584,0.7916,0.7219999999999999,0.7418,0.6648000000000001,0.7682,0.3604,0.2758,0.1688,0.8036,5.0626,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,stack_meta,rf,65536,223,0.548,0.7908000000000001,0.6989999999999998,0.6940000000000001,0.6832,0.7674,0.3572,0.301,0.2215999999999999,0.7636000000000001,5.3554,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,concat,et,65536,223,0.559,0.776,0.7244,0.7224,0.6856,0.757,0.3354,0.281,0.1722,0.8168000000000001,5.1036,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,kmer_only,et,65536,223,0.5574000000000001,0.7716000000000001,0.724,0.7163999999999999,0.6893999999999999,0.7526,0.327,0.2836,0.176,0.8208,5.1294,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,concat,rf,65536,223,0.5452,0.7638,0.7146,0.718,0.6704000000000001,0.7438,0.3157999999999999,0.2882,0.179,0.842,5.143,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,cgr_only,et,65536,223,0.5442,0.7694,0.7104,0.7432,0.6328,0.7404,0.3481999999999999,0.2848,0.1767999999999999,0.804,5.1004000000000005,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,cgr_only,rf,65536,223,0.5446,0.7636000000000001,0.7114,0.7378000000000001,0.6398,0.7343999999999999,0.3372,0.2862,0.1778,0.8082,5.1232,5
D_GRASP,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,kmer_only,rf,65536,223,0.5464,0.754,0.716,0.7011999999999999,0.6912,0.7336,0.2992,0.2934,0.1866,0.8394,5.1942,5
