dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,feat_dim,ExAcc,AvgPrec,AvgF1,MiP,MiR,AvgAUC,AvgMCC,Hamming,RankLoss,OneError,Coverage,n_eval
D_GRASP,voxel,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.4884,0.7085999999999999,0.6728,0.7017999999999999,0.5874,0.6839999999999999,0.2186,0.322,0.2025999999999999,0.9034,5.2676,5
D_GRASP,voxel,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.4838,0.6954,0.6698000000000001,0.693,0.5913999999999999,0.6776,0.1976,0.3262,0.204,0.914,5.2878,5
D_GRASP,voxel,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5442,0.7694,0.7104,0.7432,0.6328,0.7404,0.3481999999999999,0.2848,0.1767999999999999,0.804,5.1004000000000005,5
D_GRASP,voxel,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.5446,0.7636000000000001,0.7114,0.7378000000000001,0.6398,0.7343999999999999,0.3372,0.2862,0.1778,0.8082,5.1232,5
D_GRASP,voxel,seg1_pts384,1,384,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5267999999999999,0.7522,0.6995999999999999,0.7302,0.6186,0.7246,0.3122,0.2968,0.1814,0.834,5.1334,5
D_GRASP,voxel,seg1_pts384,1,384,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.5274,0.7470000000000001,0.7,0.727,0.6254000000000001,0.7192000000000001,0.3057999999999999,0.2966,0.1833999999999999,0.8421999999999998,5.1574,5
D_GRASP,voxel,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5108,0.7412,0.6874,0.7203999999999999,0.6012000000000001,0.7173999999999999,0.2784,0.3074,0.188,0.8606,5.179,5
D_GRASP,voxel,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.508,0.7312000000000001,0.6862,0.7129999999999999,0.6042,0.7081999999999999,0.2602,0.311,0.1897999999999999,0.8702000000000002,5.1982,5
D_GRASP,voxel,seg1_pts768,1,768,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.4964,0.7162,0.6776000000000001,0.7103999999999999,0.588,0.6891999999999999,0.2435999999999999,0.317,0.195,0.8854,5.218000000000001,5
D_GRASP,voxel,seg1_pts768,1,768,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.4932,0.7081999999999999,0.6756,0.7043999999999999,0.5896,0.6849999999999999,0.2279999999999999,0.3202,0.1972,0.8950000000000001,5.2342,5
D_GRASP,voxel,seg1_pts1024,1,1024,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.4944,0.7128,0.6758,0.7048,0.592,0.688,0.2335999999999999,0.319,0.1961999999999999,0.8936,5.2302,5
D_GRASP,voxel,seg1_pts1024,1,1024,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.4902,0.7021999999999999,0.673,0.7001999999999999,0.5902,0.6811999999999999,0.2188,0.3224,0.1989999999999999,0.903,5.2568,5
