dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,kmer_dim,cgr_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,kmer_only,et,65536,223,0.7368421052631579,0.0,0.9333333333333333,0.0,0.7637795275590551,0.0,0.8235294117647058,0.0,0.5125964739190312,0.0,0.8244871794871794,0.0,0.8771609993155205,0.0,1,5.5
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,cgr_only,et,65536,223,0.7529411764705882,0.0,0.8533333333333334,0.0,0.7480314960629921,0.0,0.8,0.0,0.46980269582952655,0.0,0.8047435897435896,0.0,0.8626446475533451,0.0,1,0.5
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,concat,et,65536,223,0.7083333333333334,0.0,0.9066666666666666,0.0,0.7244094488188977,0.0,0.7953216374269005,0.0,0.42150785561634757,0.0,0.823076923076923,0.0,0.8798012255374471,0.0,1,5.4
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,oof_blend,et,65536,223,0.7790697674418605,0.0,0.8933333333333333,0.0,0.7874015748031497,0.0,0.8322981366459627,0.0,0.5552427405410559,0.0,0.8526923076923077,0.0,0.8972561461037237,0.0,1,29.3
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,gated,et,65536,223,0.7790697674418605,0.0,0.8933333333333333,0.0,0.7874015748031497,0.0,0.8322981366459627,0.0,0.5552427405410559,0.0,0.8526923076923077,0.0,0.8972561461037237,0.0,1,29.1
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,kmer_only,rf,65536,223,0.68,0.0,0.9066666666666666,0.0,0.6929133858267716,0.0,0.7771428571428571,0.0,0.3500774571732557,0.0,0.7506410256410256,0.0,0.8334177554738348,0.0,1,2.2
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,cgr_only,rf,65536,223,0.7397260273972602,0.0,0.72,0.0,0.6850393700787402,0.0,0.7297297297297297,0.0,0.35272120266508944,0.0,0.7865384615384615,0.0,0.8585713771738961,0.0,1,0.7
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,concat,rf,65536,223,0.7333333333333333,0.0,0.88,0.0,0.7401574803149606,0.0,0.8,0.0,0.45286184767967935,0.0,0.7920512820512821,0.0,0.8600891552314486,0.0,1,1.9
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,oof_blend,rf,65536,223,0.7023809523809523,0.0,0.7866666666666666,0.0,0.6771653543307087,0.0,0.7421383647798742,0.0,0.3178588218490308,0.0,0.8078205128205128,0.0,0.8778243178341566,0.0,1,15.2
D_LncDNN,fusion,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,gated,rf,65536,223,0.7023809523809523,0.0,0.7866666666666666,0.0,0.6771653543307087,0.0,0.7421383647798742,0.0,0.3178588218490308,0.0,0.8078205128205128,0.0,0.8778243178341566,0.0,1,15.2
