dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,kmer_dim,cgr_dim,ACC,ACC_std,MacroF1,MacroF1_std,AUC_macro,AUC_macro_std,MacroPrecision,MacroPrecision_std,MacroRecall,MacroRecall_std,n_eval,elapsed_s
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,kmer_only,et,65536,223,0.5084745762711864,0.0,0.5046160130718954,0.0,0.7113354700854702,0.0,0.571236559139785,0.0,0.48333333333333334,0.0,1,7.9
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,cgr_only,et,65536,223,0.5254237288135594,0.0,0.4798807394156231,0.0,0.7505616605616606,0.0,0.6663043478260869,0.0,0.4555555555555556,0.0,1,0.4
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,concat,et,65536,223,0.4745762711864407,0.0,0.46280270655270656,0.0,0.6977718908076052,0.0,0.5529411764705883,0.0,0.44305555555555554,0.0,1,7.3
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,oof_blend,et,65536,223,0.5084745762711864,0.0,0.5046160130718954,0.0,0.7107304203732775,0.0,0.571236559139785,0.0,0.48333333333333334,0.0,1,41.9
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,gated,et,65536,223,0.5084745762711864,0.0,0.5046160130718954,0.0,0.7107304203732775,0.0,0.571236559139785,0.0,0.48333333333333334,0.0,1,45.0
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,kmer_only,rf,65536,223,0.4576271186440678,0.0,0.4530368085792614,0.0,0.6957465550322693,0.0,0.5411931818181819,0.0,0.4305555555555556,0.0,1,3.2
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,cgr_only,rf,65536,223,0.576271186440678,0.0,0.5111006879299562,0.0,0.7586636577708007,0.0,0.6964285714285714,0.0,0.4930555555555556,0.0,1,1.0
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,concat,rf,65536,223,0.4915254237288136,0.0,0.48433048433048437,0.0,0.6678625937554509,0.0,0.6029411764705882,0.0,0.4555555555555556,0.0,1,2.9
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,oof_blend,rf,65536,223,0.4576271186440678,0.0,0.4530368085792614,0.0,0.6957465550322693,0.0,0.5411931818181819,0.0,0.4305555555555556,0.0,1,23.4
D_MGBLncLoc,fusion,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,gated,rf,65536,223,0.4576271186440678,0.0,0.4530368085792614,0.0,0.6957465550322693,0.0,0.5411931818181819,0.0,0.4305555555555556,0.0,1,23.0
