dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,kmer_dim,cgr_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,kmer_only,et,65536,223,0.5952380952380952,0.0,0.3472222222222222,0.0,0.6190476190476191,0.0,0.43859649122807015,0.0,0.19444444444444445,0.0,0.6683333333333333,0.0,0.5705056688821257,0.0,1,48.1
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,cgr_only,et,65536,223,0.5928571428571429,0.0,0.23055555555555557,0.0,0.6023809523809524,0.0,0.332,0.0,0.14846436160461765,0.0,0.6400405092592591,0.0,0.55305424294977,0.0,1,0.6
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,concat,et,65536,223,0.5922330097087378,0.0,0.3388888888888889,0.0,0.6166666666666667,0.0,0.43109540636042404,0.0,0.1885137969353113,0.0,0.6725260416666666,0.0,0.5796748320573393,0.0,1,44.8
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,oof_blend,et,65536,223,0.62,0.0,0.25833333333333336,0.0,0.6142857142857143,0.0,0.36470588235294116,0.0,0.18035793718948545,0.0,0.667734375,0.0,0.5779738245163741,0.0,1,245.3
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,gated,et,65536,223,0.62,0.0,0.25833333333333336,0.0,0.6142857142857143,0.0,0.36470588235294116,0.0,0.18035793718948545,0.0,0.667734375,0.0,0.5779738245163741,0.0,1,236.8
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,kmer_only,rf,65536,223,0.5927835051546392,0.0,0.3194444444444444,0.0,0.6142857142857143,0.0,0.4151624548736462,0.0,0.181843221247941,0.0,0.6597366898148148,0.0,0.5692261065621538,0.0,1,18.4
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,cgr_only,rf,65536,223,0.5922330097087378,0.0,0.3388888888888889,0.0,0.6166666666666667,0.0,0.43109540636042404,0.0,0.1885137969353113,0.0,0.6396846064814815,0.0,0.5619433163250023,0.0,1,1.1
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,concat,rf,65536,223,0.602803738317757,0.0,0.35833333333333334,0.0,0.6238095238095238,0.0,0.44947735191637633,0.0,0.20585235084799536,0.0,0.6746035879629629,0.0,0.5900790775149134,0.0,1,14.7
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,oof_blend,rf,65536,223,0.5860215053763441,0.0,0.30277777777777776,0.0,0.6095238095238096,0.0,0.3992673992673993,0.0,0.16967501324339268,0.0,0.6628182870370369,0.0,0.578411326434277,0.0,1,92.9
D_Yi,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,8,gated,rf,65536,223,0.5860215053763441,0.0,0.30277777777777776,0.0,0.6095238095238096,0.0,0.3992673992673993,0.0,0.16967501324339268,0.0,0.6628182870370369,0.0,0.578411326434277,0.0,1,88.5
