dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,feat_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_Yi,voxel,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5928571428571429,0.0,0.23055555555555557,0.0,0.6023809523809524,0.0,0.332,0.0,0.14846436160461765,0.0,0.6400405092592591,0.0,0.55305424294977,0.0,1,0.6
D_Yi,voxel,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.5922330097087378,0.0,0.3388888888888889,0.0,0.6166666666666667,0.0,0.43109540636042404,0.0,0.1885137969353113,0.0,0.6396846064814815,0.0,0.5619433163250023,0.0,1,1.1
D_Yi,voxel,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5164835164835165,0.0,0.13055555555555556,0.0,0.575,0.0,0.20842572062084258,0.0,0.061920691682757587,0.0,0.5944820601851852,0.0,0.48669431232083016,0.0,1,0.6
D_Yi,voxel,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.5100671140939598,0.0,0.2111111111111111,0.0,0.575,0.0,0.29862475442043224,0.0,0.07647089001394956,0.0,0.5687123842592593,0.0,0.4778753938502903,0.0,1,1.2
D_Yi,voxel,seg1_pts384,1,384,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5304347826086957,0.0,0.16944444444444445,0.0,0.5797619047619048,0.0,0.25684210526315787,0.0,0.08197950768429828,0.0,0.6000086805555555,0.0,0.501029996696188,0.0,1,0.6
D_Yi,voxel,seg1_pts384,1,384,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.5283842794759825,0.0,0.33611111111111114,0.0,0.5869047619047619,0.0,0.41086587436332767,0.0,0.12347840567667455,0.0,0.5943634259259261,0.0,0.493582056431319,0.0,1,1.2
D_Yi,voxel,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5869565217391305,0.0,0.225,0.0,0.6,0.0,0.3253012048192771,0.0,0.1419033697000128,0.0,0.6058998842592592,0.0,0.516911697610806,0.0,1,0.6
D_Yi,voxel,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.5422885572139303,0.0,0.30277777777777776,0.0,0.5916666666666667,0.0,0.38859180035650626,0.0,0.128878627336709,0.0,0.60328125,0.0,0.5074984442150132,0.0,1,1.2
D_Yi,voxel,seg1_pts768,1,768,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5508474576271186,0.0,0.18055555555555555,0.0,0.5857142857142857,0.0,0.2719665271966527,0.0,0.09988980108984961,0.0,0.6144010416666666,0.0,0.5353547917901601,0.0,1,0.6
D_Yi,voxel,seg1_pts768,1,768,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6,0.0,0.24166666666666667,0.0,0.6059523809523809,0.0,0.3445544554455445,0.0,0.15822759311517565,0.0,0.6251128472222223,0.0,0.5468898680598403,0.0,1,1.2
D_Yi,voxel,seg1_pts1024,1,1024,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5984848484848485,0.0,0.21944444444444444,0.0,0.6023809523809524,0.0,0.32113821138211385,0.0,0.1482536638095747,0.0,0.611574074074074,0.0,0.5404148950726674,0.0,1,0.6
D_Yi,voxel,seg1_pts1024,1,1024,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.5985401459854015,0.0,0.22777777777777777,0.0,0.6035714285714285,0.0,0.3299798792756539,0.0,0.1516208878055259,0.0,0.6342592592592593,0.0,0.5595284810585333,0.0,1,1.1
