dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,kmer_dim,cgr_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,kmer_only,et,1024,223,0.7008716564618244,0.008696856360201004,0.7489795918367348,0.030595233368499893,0.7055263157894738,0.010815117151597132,0.7237748064186998,0.014392497326130104,0.41074819827749554,0.022420703463713037,0.7760536823425023,0.006399445462295287,0.7672889313414337,0.004901872250336581,10,7.4
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,cgr_only,et,1024,223,0.5980751332245713,0.008009610209013054,0.8285714285714286,0.015169457905427071,0.6242105263157894,0.009400300578679856,0.694599445534476,0.006804442824990651,0.2603181871638315,0.019231459530081776,0.73442907054126,0.009447573512831015,0.7640168066949242,0.013570140965814695,10,5.7
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,concat,et,1024,223,0.6958828498741243,0.014549896383679359,0.7642857142857142,0.015272070966424262,0.7057894736842105,0.010578816443285153,0.7282618109373663,0.007843634522129363,0.41151933047172173,0.020905695269438862,0.7790552905944986,0.0047304175876232285,0.7778762882007711,0.0031396285008592493,10,7.7
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,oof_blend,et,1024,223,0.6786038214440089,0.013536172847295065,0.7964285714285715,0.017886273615263352,0.7,0.009191710103459455,0.732523695219293,0.005588716172791638,0.40301818963853303,0.017017475834112016,0.7812042480035493,0.006102266885004462,0.7863201544352667,0.005056086088100932,10,72.6
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,gated,et,1024,223,0.6786038214440089,0.013536172847295065,0.7964285714285715,0.017886273615263352,0.7,0.009191710103459455,0.732523695219293,0.005588716172791638,0.40301818963853303,0.017017475834112016,0.7812042480035493,0.006102266885004462,0.7863201544352667,0.005056086088100932,10,72.2
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,kmer_only,rf,1024,223,0.6996846733817164,0.011117515414958435,0.7673469387755103,0.012329638748565899,0.71,0.010041465278073126,0.7318752031263348,0.008794634630566272,0.4198049580362844,0.020119294556524264,0.7814233030168589,0.005831347542621526,0.7714357243721419,0.00692909136273985,10,12.2
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,cgr_only,rf,1024,223,0.6119954027402303,0.006190366356812572,0.8270408163265305,0.010567507743473476,0.6402631578947368,0.007163503994113812,0.7034023386344478,0.005419765729687039,0.29191612723091226,0.014798253101626994,0.7399290150842947,0.006905662128463464,0.7593260986063293,0.008732194362444993,10,11.0
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,concat,rf,1024,223,0.7076078505758083,0.007252116943500203,0.7668367346938776,0.021772028870767204,0.7163157894736842,0.01051314966075697,0.7359154137406891,0.012217906344821634,0.4323717984160666,0.02173616626932986,0.7841795141969831,0.004968917987806616,0.7836641691714086,0.003158864944687119,10,13.2
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,oof_blend,rf,1024,223,0.686122271166525,0.011949550812426964,0.7943877551020408,0.019897959183673458,0.7063157894736842,0.011239029738980333,0.7361184341118364,0.01052094386973177,0.4149384015590952,0.02298150995691145,0.787056344276841,0.00513944191672307,0.789215055185535,0.005784925767669535,10,130.9
D_gShape,fusion,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,5,gated,rf,1024,223,0.686122271166525,0.011949550812426964,0.7943877551020408,0.019897959183673458,0.7063157894736842,0.011239029738980333,0.7361184341118364,0.01052094386973177,0.4149384015590952,0.02298150995691145,0.787056344276841,0.00513944191672307,0.789215055185535,0.005784925767669535,10,131.2
