dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,feat_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_gShape,voxel,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5980751332245713,0.008009610209013054,0.8285714285714286,0.015169457905427071,0.6242105263157894,0.009400300578679856,0.694599445534476,0.006804442824990651,0.2603181871638315,0.019231459530081776,0.73442907054126,0.009447573512831015,0.7640168066949242,0.013570140965814695,10,20.0
D_gShape,voxel,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6119954027402303,0.006190366356812572,0.8270408163265305,0.010567507743473476,0.6402631578947368,0.007163503994113812,0.7034023386344478,0.005419765729687039,0.29191612723091226,0.014798253101626994,0.7399290150842947,0.006905662128463464,0.7593260986063293,0.008732194362444993,10,33.7
D_gShape,voxel,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5950259110631658,0.006483915176371382,0.8551020408163266,0.012116675599018275,0.625,0.008425163470306357,0.7016902707600148,0.006212155139881023,0.2682695261196661,0.018210118555176638,0.6991528948535937,0.009603621478945022,0.698386512313171,0.007670222505196133,10,15.9
D_gShape,voxel,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.612027935624174,0.012814109456629615,0.8193877551020409,0.01616630563036211,0.6386842105263159,0.015526315789473699,0.7005750788355642,0.011284222025908175,0.2871963267441552,0.03210116888724748,0.7107517191659273,0.011055409773934696,0.7029168106797924,0.0101510673832091,10,19.5
D_gShape,voxel,seg1_pts384,1,384,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5995544311976275,0.011744930397701143,0.811734693877551,0.020337889212239547,0.6231578947368421,0.015648493418230006,0.6896076784076373,0.01305578803773794,0.2550000018996622,0.03383770666309418,0.7056538376220053,0.007648546982077511,0.7235691691277653,0.011855175423343384,10,12.3
D_gShape,voxel,seg1_pts384,1,384,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6075897720561009,0.010005302588465794,0.8091836734693878,0.020560654775112142,0.631842105263158,0.012085223687584237,0.6938912418294707,0.01018257355213028,0.2719812167553136,0.025290831514746537,0.7184990572315882,0.009364441587054292,0.7305287644402947,0.009038975358912833,10,11.7
D_gShape,voxel,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.5712192425842851,0.009464284475080971,0.7872448979591836,0.018543654944271667,0.5852631578947369,0.012070889411768114,0.6619201267128452,0.009084972658911627,0.17351580849102638,0.025932802457824124,0.6834017302573203,0.01296275159881285,0.716086778302363,0.01555239484714395,10,5.9
D_gShape,voxel,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.5799175096088743,0.009979187055013942,0.7882653061224489,0.020818577309288967,0.5960526315789474,0.012468797621560137,0.6680607391913307,0.00989608742874343,0.196202688462328,0.02668365273577426,0.6847978593611358,0.008434946668687113,0.7152120168934638,0.008444383522169571,10,11.4
D_gShape,voxel,seg1_pts768,1,768,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.6017341471402012,0.007459688243050162,0.8229591836734695,0.013888426111036932,0.6276315789473683,0.009210526315789457,0.695096234734369,0.007112784672605321,0.2659966603563401,0.019362976122727006,0.6989546362023071,0.007886603467917318,0.7235917730028915,0.008504843529289674,10,5.9
D_gShape,voxel,seg1_pts768,1,768,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6119277658880874,0.008429315682401897,0.826530612244898,0.014962120712872642,0.64,0.009546503761693194,0.7031158743087726,0.00699950541170364,0.2913659066625426,0.019599394187563023,0.7113825421472937,0.012076989676688727,0.7224394603197617,0.011862601532383908,10,12.0
D_gShape,voxel,seg1_pts1024,1,1024,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.624219853363376,0.009160459186149435,0.7826530612244899,0.014645612341231967,0.6447368421052632,0.009916549306008837,0.6944178083832121,0.008074842842384508,0.293383283871668,0.020134633181535768,0.7183423913043478,0.01064029391685717,0.7295468068881986,0.013534023619712678,10,5.9
D_gShape,voxel,seg1_pts1024,1,1024,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6221995012790331,0.010878329698647422,0.7857142857142858,0.015642560935465184,0.6431578947368422,0.011115111622075208,0.6943209602462203,0.008168371049846442,0.2906897891644013,0.02205376550975219,0.7206535603371784,0.006204358916488648,0.7268670992147991,0.013015603930203276,10,11.6
